codigo,producto,familia,cantidad,coste,venta,margen_coste,margen_venta,beneficio,familia_legible
005608,AGUA ,A3 BU,11.0,4.12,7.53,0.605763058653615,0.377243115283477,3.41,bebidas sin alcohol
212082,AGUA SOLAN ,AQ J1,5.0,4.5,6.75,0.36363636363636503,0.266666666666667,2.25,bebidas sin alcohol
030037,AGUA SOLAN DE ,AQ J1,586.0,343.39,534.979999999999,0.416226712802037,0.293898363192517,191.589999999999,bebidas sin alcohol
030017,AGUA SOLAN DE ,AQ J1,58.0,24.52,37.7,0.39774581047011603,0.284562334217506,13.180000000000003,bebidas sin alcohol
030033,AGUA SOLAN DE ,AQ J1,26.0,55.98,70.05,0.13764656208386,0.120992377308932,14.07,bebidas sin alcohol
030840,AGUA SOLAN DE ,AQ J1,519.0,279.08,429.82,0.40031629900843,0.285875626308067,150.74,bebidas sin alcohol
601073,AGUA VALTORRE ,AQ J1,12.0,2.76,6.0,0.9782608695652171,0.494505494505495,3.24,bebidas sin alcohol
601088,AGUA VALTORRE ,AQ J1,12.0,2.64,4.8,0.652892561983472,0.395,2.16,bebidas sin alcohol
  ,,,,,,  ,,,otros
  ,,,,,,  ,,,otros
Artículo,Descripción,Família,,,,Margen C.,Margen V.,,otros
,,,,,,,,,otros
030019,AGUA VICHY ,AQ J1,28.0,34.01,43.4,0.16004383737403502,0.137963611561717,9.39,bebidas sin alcohol
032592,AGUACATE ,AEAH,0.614,2.456,3.06,0.19800801804058998,0.16528104575163302,0.6040000000000001,bebidas sin alcohol
092283,AGUACATE ,AEAH,15.068,79.31532,103.9,0.289691672331496,0.22462087531959699,24.58468000000001,bebidas sin alcohol
046218,AGUARDIE.,AQ J7,2.0,17.58,24.58,0.15551763367463,0.134586984345771,7.0,bebidas sin alcohol
601013,AGUAZUL X2                                        ,A3 BA,11.0,11.55,18.7,0.471515151515151,0.320428336079077,7.149999999999999,bebidas sin alcohol
056549,AGUJA ORBE ,AQ JQ,8.0,12.32,19.92,0.47001180637544104,0.319733354750622,7.600000000000001,otros
216329,AJO ARTIQ ,A0 K6,2.0,1.38,2.12,0.521014492753623,0.34254406860409703,0.7400000000000002,otros
600797,AJO DANI 55GR                                     ,AQ JB,1.0,0.79,1.1,0.265822784810127,0.21,0.31,otros
016939,AJO GOURMET ,AQ JB,40.184,25.71776,44.2,0.6703392758694631,0.401319232298199,18.482240000000004,otros
092309,AJO GRANEL ,AEAI,2.082,5.9585,7.96,0.321473525216078,0.24326898653797302,2.0015,otros
092332,AJO SECO ,AEAI,34.0,42.75,57.91,0.324728744939271,0.245128480966236,15.159999999999997,otros
600652,AJO Y PEREJIL ,AQ JB,2.0,2.518,3.78,0.364575059571088,0.267171129220023,1.262,otros
016938,AJO Y PEREJIL ,AQ JB,21.0,13.23,23.1,0.587301587301587,0.37,9.87,otros
016937,ALBAHACA ,AQ JB,2.0,0.94,1.66,0.6063829787234041,0.377483443708609,0.72,otros
017517,ALBONDIGA ,AQ JU,15.0,39.72,56.25,0.287402728188227,0.22324228611251398,16.53,otros
009018,ALBONDIGA ,AQ JU,81.0,93.68,148.23,0.43865480164583603,0.304906222913245,54.54999999999998,otros
